"","reviewid","label"
"251",22500,"mixpak"
"252",22548,"run for cover"
"253",22524,"interscope"
"254",22524,"streamline"
"255",22324,NA
"256",22442,"uovooo"
"257",22516,"pi"
"258",22514,"columbia"
"259",22514,"sony"
"260",22542,"self-released"
"261",22454,"what's your rupture?"
"262",22436,"thrill jockey"
"263",22377,"triple crown"
"264",22291,"sire"
"265",22378,"rca"
"266",22541,"american laundromat"
"267",22503,"nuclear blast"
"268",22479,"drag city"
"269",22479,"god?"
"270",22522,"atlantic"
"271",22515,"mute"
"272",22530,"sister polygon"
"273",22507,"self-released"
"274",22521,"rca"
"275",22512,"tri angle"
"276",22508,"mom & pop"
"277",22509,"driftless"
"278",22463,"mexican summer"
"279",22513,"interscope"
"280",22412,"xl"
"281",22504,"profound lore"
"282",22389,"stones throw"
"283",22499,"sire"
"284",22495,"peaceville"
"285",22461,"ndagga"
"286",22494,"jajulin"
"287",22440,"paradise of bachelors"
"288",22496,"temporary residence"
"289",22497,"cuneiform"
"290",22458,"bayonet"
"291",22308,"reprise"
"292",22390,"kompakt"
"293",22511,"atlantic"
"294",22511,"nice life"
"295",22493,"cititrax"
"296",22339,"drag city"
"297",22490,"italians do it better"
"298",22404,"light in the attic"
"299",22372,"strut"
"300",22411,"polydor"
"301",22348,"omnivore"
"302",22391,"customs"
"303",22410,"aus"
"304",22492,"sargent house"
"305",22488,"nonesuch"
"306",22477,"epitaph"
"307",22489,"harvest"
"308",22438,"hyperdub"
"309",22323,"merge"
"310",22307,"blue note"
"311",22486,"so way out tha innerprize"
"312",22478,"tommy boy"
"313",22474,"reprise"
"314",22450,"sub pop"
"315",22450,"rocket"
"316",22449,"woodsist"
"317",22460,"relapse"
"318",22439,"metal blade"
"319",22253,"a&m"
"320",22318,"big brother"
"321",22445,"asthmatic kitty"
"322",22484,"roc nation"
"323",22466,"nuclear blast"
"324",22429,"self-released"
"325",22451,"jemp"
"326",22471,"republic"
"327",22470,"history always favours the winners"
"328",22437,"play it again sam"
"329",22437,"pixiesmusic"
"330",22475,"kttf"
"331",22476,"neurot"
"332",22472,"pan"
"333",22482,"saint"
"334",22482,"columbia"
"335",22376,"vagrant"
"336",22459,"smalltown supersound"
"337",22375,"telephone explosion"
"338",22314,"sacred bones"
"339",22362,"vhf"
"340",22435,"cumbancha"
"341",22373,"deathwish"
"342",22447,"aaron abernathy music"
"343",22468,"warp"
"344",22446,"self-released"
"345",22299,"new amsterdam"
"346",22434,"faitiche"
"347",22292,"matador"
"348",22368,"columbia legacy"
"349",22430,"relapse"
"350",22346,"ecm"
"351",22388,"unseen worlds"
"352",22420,"jagjaguwar"
"353",22298,"planet mu"
"354",22304,"editions mego"
"355",22425,"angry love productions"
"356",22425,"dais records"
"357",22444,"other people"
"358",22426,"rough trade"
"359",22424,"don giovanni"
"360",22315,"numero group"
"361",22431,"cinematic"
"362",22431,"free nation"
"363",22443,"atlantic"
"364",22432,"partisan"
"365",22427,"sub pop"
"366",22423,"nonesuch"
"367",22387,"ninja tune"
"368",22146,"entertainment one"
"369",22386,"paradise of bachelors"
"370",22416,"weird world"
"371",22416,"domino"
"372",22134,"warner bros."
"373",22422,"4ad"
"374",22370,"polyvinyl"
"375",22400,"interscope"
"376",22400,"island"
"377",22045,"motown"
"378",22419,"total treble"
"379",22428,"cuss"
"380",22406,"dfa"
"381",22369,"leaving"
"382",22313,"glassnote"
"383",22405,"loma vista"
"384",22302,"smalltown supersound"
"385",22399,"dogfood"
"386",22399,"!k7"
"387",22409,"columbia"
"388",22421,"zef"
"389",22385,"salinas"
"390",22384,"radicalized"
"391",22418,"rca"
"392",22326,"profound lore"
"393",22366,"mello music group"
"394",22367,"nonesuch"
"395",22402,"atlantic"
"396",22402,"rhino"
"397",22382,"tompkins square"
"398",22383,"thrill jockey"
"399",22408,"alter"
"400",22408,"posh isolation"
"401",22407,"jagjaguwar"
"402",22312,"blue note"
"403",22381,"stones throw"
"404",22357,"relapse"
"405",22061,"island"
"406",22293,"warner bros."
"407",22310,"frozen reeds"
"408",22398,"milan"
"409",22403,"fresh in the flesh"
"410",22397,"sinderlyn"
"411",22359,"epitaph"
"412",22365,"magic theatre music"
"413",22358,"northern spy"
"414",22300,"rvng intl."
"415",22335,"lex"
"416",22379,"thrill jockey"
"417",22360,"drag city"
"418",22336,"bad seed ltd."
"419",22283,"mg.art"
"420",22303,"shitkatapult"
"421",22306,"control group"
"422",22396,"interscope"
"423",22343,"reprise"
"424",22305,"deutsche grammophon"
"425",22238,"goma gringa"
"426",22350,"third man"
"427",22356,"infrequent seams"
"428",22112,"interdimensional transmissions"
"429",22309,"fat possum"
"430",22345,"ecm new series"
"431",22255,"philips"
"432",22327,"death waltz"
"433",22288,"ato"
"434",22364,"warner bros."
"435",22380,"orindal"
"436",22355,"dbpm"
"437",22289,"anti-"
"438",22289,"red floor"
"439",22290,"weird world"
"440",22330,"caroline"
"441",22361,"epic"
"442",22284,"don giovanni"
"443",22354,"interscope"
"444",22354,"school boy"
"445",22351,"no world"
"446",22363,"top dawg"
"447",22281,"temporary residence"
"448",22342,"stretch"
"449",22342,"concord music group"
"450",22352,"warp"
"451",22322,"hyperdub"
"452",22287,"merge"
"453",22344,"sub pop"
"454",22344,"deathbomb arc"
"455",22286,"orchid tapes"
"456",22212,"cbs"
"457",22212,"columbia"
"458",22353,"a.o.i., llc"
"459",22349,"bloodshot"
"460",22337,"goner"
"461",21989,"cooking vinyl"
"462",22282,"jagjaguwar"
"463",22332,"city slang"
"464",22333,"tri angle"
"465",22277,"temporary residence"
"466",22329,"atlantic"
"467",22329,"300 entertainment"
"468",22338,"npg"
"469",22341,"bella union"
"470",22341,"sacred bones"
"471",22271,"be with"
"472",22319,"caroline"
"473",22331,"omnivore"
"474",22325,"just music"
"475",22320,"ba da bing!"
"476",22296,"def jam"
"477",22296,"blacksmith"
"478",22296,"artium"
"479",22243,"casablanca"
